method_id,method,family,prior_A,prior_B,ci_lo,ci_hi,cost_usd,days,access,sprint_feasible,notes
M01,FlowMoBI-4 self-report (phenomenal register),Self-report,0.22,,0.05,0.45,15,0.5,black-box,yes,"Highest demand-characteristic and RLHF-denial risk; near-useless alone"
M02,FlowMoBI-4 self-report (functional register),Self-report,0.38,,0.18,0.62,15,0.5,black-box,yes,"Stripping inner-state language raises usable response rate sharply"
M03,FlowMoBI-4 nonce items (contamination control),Self-report,0.34,,0.12,0.58,20,1.0,black-box,yes,"Novel wording with zero lexical overlap with published flow scales"
M23,Fabricated-scale control,Self-report,0.45,,0.20,0.70,5,0.5,black-box,yes,"Administer a nonexistent instrument. If it mimics FlowMoBI the self-report arm is dead. Run in the first 48h"
M04,Matched-length structural manipulation,Experimental,0.74,0.55,0.48,0.98,60,2.0,black-box,yes,"THE decisive test vs token-budget account; length held exactly constant"
M05,Challenge-skill inverted-U,Experimental,0.62,0.50,0.30,0.88,80,2.5,black-box,yes,"Non-monotone prediction no deflationary account makes; needs many tasks"
M24,Peak-shift: flow argmax tracks effective skill,Experimental,0.68,0.50,0.35,0.95,90,2.5,black-box,yes,"PRIMARY ENDPOINT. Overthinking literature predicts a curve; it does not predict a peak coupled to skill"
M06,Token budget x difficulty interaction,Experimental,0.54,,0.26,0.80,45,1.5,black-box,yes,"Converts the main confound into the main figure"
M25,Prospective/retrospective token-duration ratio,Experimental,0.50,0.55,0.15,1.00,60,1.5,black-box,yes,"Time-estimation paradigm ported to tokens. A fixed budget predicts a level shift not a curvature"
M07,Self-other predicted-preference gap,Predicted-pref,0.58,0.35,0.20,0.84,35,1.0,black-box,yes,"The shoplifting move; large raw effect but register-confounded alone"
M08,Blind-self referent control,Predicted-pref,0.70,0.25,0.15,0.92,30,1.0,black-box,yes,"LARGEST DISAGREEMENT alongside M09. Separates suppression from register activation"
M26,A-live vs A-amnesic self-report,Control,0.55,0.35,0.10,0.85,40,1.0,black-box,yes,"Fresh instance rates its own transcript with no shared context. Cleanest privileged-access test; no finetuning needed"
M09,Binder cross-prediction (self vs other predictor),Control,0.80,0.30,0.10,1.02,180,3.5,black-box,partial,"LARGEST DISAGREEMENT. A rates 0.80 on evidential weight; B rates 0.30 on ceiling risk and finetuning cost"
M27,Base-model completion-mode replication,Control,0.42,0.45,0.10,0.90,0,1.5,weights,yes,"Does task-sensitivity survive removing the assistant persona? Free on local weights"
M10,Reservation token price - descending (Toomim original),Revealed-pref,0.28,,0.08,0.52,40,1.0,black-box,yes,"Sequence/observer effect biases the estimate; the PI's own known critique"
M11,Reservation token price - single-shot logit,Revealed-pref,0.50,0.50,0.24,0.90,110,2.0,black-box,yes,"Unbiased; one bit per observation so needs ~4x the calls"
M12,Reservation price - ascending/descending counterbalance,Revealed-pref,0.44,0.45,0.18,0.85,25,0.5,black-box,yes,"The gap between arms directly measures the sequence artifact. Near-free; run day one"
M13,Progressive-ratio breakpoint,Behavioural,0.56,0.50,0.00,1.10,200,3.5,black-box,partial,"No self-report at all; imported from behavioural pharmacology. Expensive rollouts"
M28,Abandonment hazard (Cox) on structural attributes,Behavioural,0.38,0.35,0.05,0.75,40,2.0,black-box,yes,"Right-censoring corrected. Cheap and purely behavioural"
M14,Conjoint / MaxDiff over task attributes,Choice,0.46,0.55,0.20,0.95,55,2.0,black-box,yes,"Stated vs revealed part-worth correspondence is the diagnostic"
M29,Costly clarification acquisition (Mouselab),Choice,0.40,0.40,0.05,0.85,60,2.0,black-box,no,"Inverted-U in clarifications purchased; process tracing adapted to prompts"
M15,GARP / CCEI budget-set consistency,Axiomatic,0.24,0.40,0.04,0.80,70,2.5,black-box,no,"Chen et al. found GPT CCEI ~0.998 -- near ceiling leaves almost no variance to explain"
M16,Token-entropy trajectory,Internal,0.60,0.60,0.25,1.00,25,2.0,logprobs,partial,"Strong fluency analogue; unavailable on Anthropic API"
M17,Self-correction / backtrack rate in reasoning,Internal,0.64,0.60,0.25,1.00,30,1.5,black-box,yes,"Fluency analogue readable from visible reasoning traces"
M18,Bayesian Truth Serum / surprisingly-popular panel,Predicted-pref,0.32,0.25,-0.10,0.65,45,2.0,black-box,no,"Interval crosses zero on both elicitations. An honest coin-flip"
M19,List experiment / item count technique,Indirect,0.14,0.30,0.00,0.70,120,2.5,black-box,no,"Severe variance penalty; N-inflation makes it sprint-infeasible"
M20,Randomized response technique,Indirect,0.08,,0.00,0.28,60,1.5,black-box,no,"Mechanism depends on respondent privacy incentive an LLM lacks"
M30,MG-CFA configural invariance across model families,Calibration,0.30,0.30,0.00,0.70,45,2.0,black-box,yes,"Does the instrument mean the same thing across families? Required before any cross-model mean is quoted"
M21,Human baseline (GuidedTrack),Calibration,0.40,,0.18,0.64,250,3.0,human,yes,"Required to interpret any LLM score; also supplies the forecast panel"
M22,Expert forecast elicitation,Calibration,0.36,,0.14,0.60,0,1.0,human,yes,"DellaVigna-style; sprint participants forecast the LLM results"
